ComplaintsID,Description,RelatedTo,ComplaintDate,UserID,OrderID_If_Applicable,Pending
1,Point 12 of T&C not clear,Membership,2021-01-04,963,,0
2,Wrong order delivered,Order,2021-02-18,310,998,1
3,"Medicine is marked prescribed, but is just a normal cold medicine",Medicine,2021-01-08,92,,0
4,How to initiate Refund,Subscription,2021-02-05,295,,1
5,"Need cap on password lenght, I was able to login with a single character password",User Experience,2021-01-09,220,,1
6,"Purchsed subscription, but not showing activated in Profile",Subscription,2021-02-14,789,,0
7,Medicine should be sold loose (Don't need all 20 tablets),Medicine,2021-02-02,853,,0
8,Color scheme sucks,User Experience,2021-02-17,887,,1
9,Covid-19 protocols not followed by Delivery Boy,Order,2021-03-30,193,1733,0
10,Customer Care executive was rude,Miscellaneous,2021-03-10,387,,1
11,Duration of Membership shown in Profile is incorrect,Membership,2021-03-07,927,,1
12,Paymement gateway is too time consuming,Miscellaneous,2021-02-03,834,,1
13,Medicine should be sold loose (Don't need all 20 tablets),Medicine,2021-01-27,953,,1
14,Direct google authenciation would be nice,User Experience,2021-02-21,287,,1
15,UI can be improved,User Experience,2021-01-26,290,,0
16,Unable to select 28 days subscription,Subscription,2021-01-04,577,,1
17,Wrong order delivered,Order,2021-01-31,127,1558,0
18,Paymement gateway is too time consuming,Miscellaneous,2021-03-27,615,,1
19,Point 3 of T&C not clear,Subscription,2021-02-08,141,,0
20,Unable to select 28 days subscription,Subscription,2021-01-09,584,,0
21,"Medicine is marked prescribed, but is just a normal cold medicine",Medicine,2021-03-04,529,,1
22,Customer Care executive was rude,Miscellaneous,2021-03-14,196,,0
23,Too much whitespace,User Experience,2021-01-03,332,,0
24,Customer Care executive was rude,Miscellaneous,2021-02-13,382,,1
25,UI can be improved,User Experience,2021-02-18,818,,0
26,Color scheme sucks,User Experience,2021-03-01,450,,1
27,Duration of subscription shown in Profile is incorrect,Subscription,2021-02-12,624,,0
28,How to initiate Refund,Subscription,2021-01-30,247,,0
29,Duration of Membership shown in Profile is incorrect,Membership,2021-03-11,696,,0
30,False description of medicine provided,Medicine,2021-02-24,670,,0
31,Point 3 of T&C not clear,Subscription,2021-03-03,815,,1
32,Point 3 of T&C not clear,Subscription,2021-02-21,832,,1
