CompanyID,PhoneNumber
1,1-284-105-7723
2,1-351-685-6320
3,1-142-320-6450
4,863-6621
5,344-1235
6,1-565-720-3395
7,910-1435
8,619-8297
9,582-8523
10,1-814-298-5152
11,1-249-718-6945
12,1-482-640-4061
13,859-4081
14,1-386-430-7785
15,1-361-809-3096
16,548-7177
17,917-0629
18,910-7195
19,948-2389
20,1-860-769-2467
21,1-449-589-0821
22,1-680-861-0868
23,979-0959
24,1-373-206-4615
25,552-9718
26,616-1286
27,937-2087
28,398-0868
29,362-1250
30,860-8057
31,1-679-569-7380
32,789-0185
33,1-613-666-2625
34,1-647-981-8891
35,1-718-538-7229
36,1-407-379-9401
37,704-1708
38,772-6342
39,103-4301
40,1-246-542-9417
41,296-0089
42,1-796-370-3046
43,1-472-970-0744
44,930-7839
45,248-8783
46,1-962-681-0157
47,1-893-668-7708
48,748-2023
49,1-732-985-6075
50,1-380-507-4346
51,1-676-118-7755
52,1-252-192-8098
53,748-0621
54,1-865-540-4957
55,359-1544
56,1-342-456-2983
57,968-3245
58,846-6669
59,872-8728
60,1-650-861-0003
61,234-7391
62,1-616-100-5327
63,1-685-942-2064
64,958-7711
65,1-321-914-4534
66,381-0330
67,1-190-414-1255
68,955-7727
69,695-9750
70,1-183-520-0258
71,848-8975
72,1-627-606-9646
73,260-8756
74,919-7385
75,1-426-711-6389
76,1-328-519-9216
77,1-989-544-4567
78,1-718-751-0494
79,819-9821
80,1-301-721-5655
81,1-462-739-3449
82,147-6072
83,1-810-481-4656
84,264-6201
85,1-773-576-2059
86,277-8284
87,1-868-913-0632
88,311-4657
89,286-7790
90,1-932-738-4276
91,207-0690
92,483-3081
93,859-4071
94,1-660-702-6586
95,516-2014
96,453-1462
97,980-2256
98,304-5774
99,1-775-639-1634
100,1-465-728-0795
