MedicineID,Name,Description,CompanyName,Cost,Category,IsPrescribed,PackagingTemperature,CompanyID,HomemadeRemedies
1,Premarin,Ped cycle acc-pers NOS,"Cassin, Kuphal and Feeney",44.23,Pharmacy Medicine,0,1,2,practice haldi
2,Sugar Cookie Antibacterial Hand Wash,Ureteral fistula,McKenzie Group,37.81,General Sales List,0,13,7,do boil water
3,HallsMelon Splash,Opn cerebell lac-concuss,"Prosacco, Cronin and Wilderman",23.91,Pharmacy Medicine,1,-4,25,use haldi
4,nicorelief,Oil & grease dermatitis,Wolf-Price,83.31,Controlled List,0,16,47,do padma-assan
5,ZYLOPRIM,Contraceptive mangmt NOS,Wyman Inc,96.89,Controlled List,0,22,79,do padma-assan
6,ISAKNOX AGELESS SERUM COMPACT 23,Cystic kidney diseas NOS,Kuphal LLC,730.69,Controlled List,1,7,29,follow sav-assan
7,Coppertone Oil Free Faces,TB of ureter-histo dx,Stamm-Littel,80.46,General Sales List,1,16,27,take haldi
8,ANTIBACTERIAL FOAMING HAND SP LEMONGRASS,Tick-borne hem fever NEC,Ebert and Sons,79.65,General Sales List,1,29,98,take haldi
9,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),Tox eff lacrimogenic gas,Harris-Lesch,92.14,Controlled List,0,-3,43,take neem
10,Alprazolam,Preop respiratory exam,Tillman-Waelchi,15.1,Controlled List,0,23,4,take sav-assan
11,Colic,3rd deg burn ankle,Leffler Inc,17.66,Controlled List,1,16,76,use neem
12,Paisley Peach Antibacterial Hand Moisturizer,Trunk injury-sites NEC,"Hyatt, Fisher and Crooks",5.57,Pharmacy Medicine,1,14,16,do vegetarian
13,BACITRACIN,Neurohypophysis dis NEC,Kub-Aufderhar,63.87,General Sales List,0,1,72,do wake early
14,Taurine,Mushroom workers' lung,Walter and Sons,97.42,General Sales List,1,-5,44,use wake early
15,Moisture Renew,Lat schizo-subchr/exacer,Kuphal LLC,74.76,Controlled List,1,-2,29,use boil water
16,Acetaminophen Rapid Release,Centric occl intrcsp dis,"Zieme, Lakin and Carter",47.43,Pharmacy Medicine,1,2,55,take padma-assan
17,Loratadine,Undet circ-aircrft crash,"Simonis, Kling and Mraz",17.35,Pharmacy Medicine,1,13,71,do tulsi
18,Temazepam,Injury median nerve,"Hermiston, Legros and Hand",75.21,Pharmacy Medicine,1,9,13,use haldi
19,Naproxen,"Fx femur, midcervic-clos",Crona-Leannon,42.89,Controlled List,0,9,6,practice vegetarian
20,Metaproterenol Sulfate,Maternal distress-unspec,"Predovic, Robel and Considine",63.34,Controlled List,1,10,1,do tulsi
21,Good Neighbor Pharmacy Nicotine,Atrophy maxilla-minimal,Carter Inc,58.42,Controlled List,0,3,100,follow tulsi
22,Lisinopril,Abrasion-enamel,Ebert and Sons,29.23,Controlled List,1,23,98,take wake early
