OrderItemNo,Cost,Quantity,OrderID,MedicineID
1,40.33,1,1,290
2,28.25,10,1,922
3,756.82,2,1,174
4,32.65,2,1,230
5,61.51,7,1,267
6,24.85,2,1,429
7,48.76,1,1,598
8,74.47,7,2,333
9,899.35,8,2,24
10,59.94,9,2,247
11,49.27,8,2,397
12,93.53,4,2,869
13,86.18,6,2,555
14,93.53,5,2,869
15,14.42,10,2,548
16,74.28,9,2,748
17,62.36,1,3,123
18,96.84,6,3,801
19,22.86,5,4,661
20,74.47,10,5,333
21,268.09,5,5,894
22,53.79,7,5,369
23,61.83,10,5,970
24,176.89,4,5,444
25,150.49,6,5,972
26,14.99,7,5,770
27,69.91,9,6,64
28,596.95,9,7,702
29,596.95,4,7,702
30,58.97,10,7,203
31,61.71,6,7,797
32,35.81,2,7,679
33,86.69,5,8,637
34,71.38,1,8,809
35,99.19,9,8,229
36,81.72,9,8,646
37,669.51,5,8,480
38,43.51,5,8,262
39,243.04,5,8,726
40,74.47,1,8,333
41,21.41,10,8,553
42,33.74,5,8,37
43,75.44,7,9,23
44,57.81,2,9,589
45,135.44,10,9,714
46,34.53,3,9,617
47,18,3,9,296
48,59.45,1,9,983
49,62.99,1,9,442
50,93,7,9,938
51,38.51,7,9,188
52,44.23,2,10,1
53,95.72,8,10,850
54,12.71,1,10,766
55,54.8,9,10,772
56,52.6,10,10,115
57,52.31,2,10,643
58,69.74,1,11,395
59,932.52,1,11,180
60,264.46,1,11,996
61,486.17,5,11,408
62,67.47,1,11,422
63,29.72,3,11,437
64,41.44,5,11,383
65,486.17,6,11,408
66,40.25,7,12,541
67,96.93,1,13,59
68,14.9,6,13,729
69,69.74,5,13,395
70,97.82,7,13,975
71,48.14,9,13,308
72,57.81,4,13,520
73,54.73,6,13,83
74,75.24,2,13,776
75,80.41,6,13,109
76,37.27,8,13,610
77,70.54,10,14,699
78,59.94,2,14,247
79,71.12,1,14,655
80,72.1,5,14,825
81,48.74,4,14,25
82,56,4,14,348
83,50.74,9,14,806
84,14.99,7,15,770
85,268.09,9,15,894
86,24.5,10,15,683
87,46,10,15,860
88,62.99,8,15,442
89,26.22,2,15,536
90,36.67,4,15,269
91,83.85,7,15,272
